"title","url","primary_category","source_type","country","notes","page_url"
"Investment Basics","https://www.investopedia.com/terms/i/investing.asp","Investing","General","US","Broad primer","https://www.investopedia.com/terms/i/investing.asp"
"Index Fund Definition","https://www.investopedia.com/terms/i/indexfund.asp","Investing","General","US","Useful for grounding LLM","https://www.investopedia.com/terms/i/indexfund.asp"
"Best Ways to Save Money","https://www.nerdwallet.com/article/finance/how-to-save-money","Financial Planning","General","US","Practical tips","https://www.nerdwallet.com/article/finance/how-to-save-money"
"Mutual Funds 101","https://www.schwab.com/mutual-funds/understand-mutual-funds","Investing","General","US","Varied wording for embeddings","https://www.schwab.com/mutual-funds/understand-mutual-funds"
"Bond Basics","https://www.schwab.com/learn/story/what-are-bonds-understanding-bond-types-and-how-they-work","Investing","General","US","Simplified fixed-income explanation","https://www.schwab.com/learn/story/what-are-bonds-understanding-bond-types-and-how-they-work"
"ETF Basics","https://www.schwab.com/learn/story/what-is-etf","Investing","General","US","Good external definition","https://www.schwab.com/learn/story/what-is-etf"
"How to Budget","https://www.nerdwallet.com/article/finance/how-to-budget","Financial Planning","General","US","Beginner-friendly","https://www.nerdwallet.com/article/finance/how-to-budget"
"Traditional IRA Overview","https://www.fidelity.com/retirement-ira/traditional-ira","Retirement","General","US","Complements BH detail","https://www.fidelity.com/retirement-ira/traditional-ira"
"Roth IRA Overview","https://www.fidelity.com/retirement-ira/roth-ira","Retirement","General","US","Clarifies rules","https://www.fidelity.com/retirement-ira/roth-ira"
"Capital Gains (IRS)","https://www.irs.gov/taxtopics/tc409","Tax","Government","US","Authoritative","https://www.irs.gov/taxtopics/tc409"
"HSA Rules","https://www.irs.gov/publications/p969","Tax","Government","US","Primary rule source","https://www.irs.gov/publications/p969"
"Basics of Bonds","https://www.finra.org/investors/learn-to-invest/types-investments/bonds","Investing","General","US","Trusted educator","https://www.finra.org/investors/learn-to-invest/types-investments/bonds"
"Budgeting 101","https://www.ramseysolutions.com/budgeting/how-to-budget","Financial Planning","General","US","Very different wording = good for embeddings","https://www.ramseysolutions.com/budgeting/how-to-budget"
"Annuities Explained","https://www.forbes.com/advisor/retirement/what-is-an-annuity/","Retirement","General","US","2nd-source annuity explainer","https://www.forbes.com/advisor/retirement/what-is-an-annuity/"
"Portfolio Construction","https://www.morningstar.com/lp/portfolio-construction","Investing","General","US","High-quality explanations","https://www.morningstar.com/lp/portfolio-construction"
"Estate Planning Basics","https://www.forbes.com/advisor/legal/estate-planning/","Financial Planning","General","US","Missing topic in BH set","https://www.forbes.com/advisor/legal/estate-planning/"
"Emergency Savings Guide","https://www.bankrate.com/banking/savings/starting-an-emergency-fund/","Financial Planning","General","US","External redundancy","https://www.bankrate.com/banking/savings/starting-an-emergency-fund/"
"Mortgage vs. Invest","https://www.bankrate.com/mortgages/pay-off-mortgage-or-invest/","Financial Planning","General","US","Supports BH version","https://www.bankrate.com/mortgages/pay-off-mortgage-or-invest/"
"Common Money Mistakes","https://www.investopedia.com/personal-finance/most-common-financial-mistakes/","Behavioral Finance","General","US","Complements BH behavioral page","https://www.investopedia.com/personal-finance/most-common-financial-mistakes/"
"Retirement Simplified","https://www.ramseysolutions.com/retirement/how-to-create-your-retirement-plan","Retirement","General","US","Simplified overview","https://www.ramseysolutions.com/retirement/how-to-create-your-retirement-plan"
"IRA Rules","https://www.irs.gov/retirement-plans/retirement-plans-faqs-regarding-iras","Retirement","Government","US","Authoritative source","https://www.irs.gov/retirement-plans/retirement-plans-faqs-regarding-iras"
"Federal Tax Brackets","https://www.investopedia.com/terms/f/federal_income_tax.asp","Tax","General","US","Secondary tax reference","https://www.investopedia.com/terms/f/federal_income_tax.asp"
"Diversifying Portfolio","https://investor.vanguard.com/investor-resources-education/portfolio-management/diversifying-your-portfolio","Investing","General","US","Primary source","https://investor.vanguard.com/investor-resources-education/portfolio-management/diversifying-your-portfolio"
"Asset Allocation Guide","https://investor.vanguard.com/investor-resources-education/education/model-portfolio-allocation","Investing","General","US","High-signal","https://investor.vanguard.com/investor-resources-education/education/model-portfolio-allocation"
"Indexing Explained","https://investor.vanguard.com/investor-resources-education/understanding-investment-types/what-is-an-index-fund","Investing","General","US","Strong conceptual clarity","https://investor.vanguard.com/investor-resources-education/understanding-investment-types/what-is-an-index-fund"
"ETFs Explained","https://www.finra.org/investors/investing/investment-products/exchange-traded-funds-and-products","Investing","General","US","Regulator-quality explanation","https://www.finra.org/investors/investing/investment-products/exchange-traded-funds-and-products"
"Credit Scores 101","https://www.nerdwallet.com/finance/learn/great-credit-powerful-tool","Financial Planning","General","US","Smooths general FP answers","https://www.nerdwallet.com/finance/learn/great-credit-powerful-tool"
"Life Insurance Basics","src/indexer/articles/html/forbes_life_insurance.html","Financial Planning","General","US","Broad FP coverage","https://www.forbes.com/sites/timmaurer/2016/01/05/10-things-you-absolutely-need-to-know-about-life-insurance/"
"Asset Allocation & Diversification Basics","https://www.finra.org/investors/investing/investing-basics/asset-allocation-diversification","Investing","General","US","Replaces failed CFA/FINRA articles; clean regulator resource","https://www.finra.org/investors/investing/investing-basics/asset-allocation-diversification"
"Risk Tolerance","https://www.finra.org/investors/insights/know-your-risk-tolerance","Investing","General","US","Replacement for failed CFA Risk vs Return; clear regulator resource","https://www.finra.org/investors/insights/know-your-risk-tolerance"
"Inflation","src/indexer/articles/html/frb_inflation.html","Investing","General","US","Replaces CNBC inflation article; general Fed education page","https://www.stlouisfed.org/publications/page-one-economics/2021/12/01/a-dollars-worth-inflation-is-real"
"Asset Allocation & Diversification","src/indexer/articles/html/sec_beginner.html","Investing","General","US","Replaces failed Morningstar article; stable SEC page","https://www.sec.gov/about/reports-publications/investorpubsassetallocationhtm"
"Mutual Fund Basics & Asset Allocation","src/indexer/articles/html/sec_asset_allocation.html","Investing","General","US","Replaces failed Mutual Fund Primer; investor.gov article","https://www.investor.gov/introduction-investing/getting-started/asset-allocation"
"Sequence Risk During Retirement","src/indexer/articles/html/morningstar_sequence_risk.html","Retirement","General","US","Matches BH page nicely","https://www.morningstar.com/columns/rekenthaler-report/sequence-risk-during-retirement"
"Retirement Withdrawal Guide","src/indexer/articles/html/morningstar_safe_withdrawal.html","Retirement","General","US","Matches BH SWR","https://www.morningstar.com/retirement/whats-safe-retirement-withdrawal-rate-2026"
"Social Security and Medicare","src/indexer/articles/pdf/EN-05-10024.pdf","Retirement","Government","US","Authoritative source","https://www.ssa.gov/pubs/EN-05-10024.pdf"
